Id,Designator,Package,Quantity,Designation,Manufacturer,Part Number,Price
1,IC3,BC127,1,BC127,Sierra Wireless,BC127-1103383,$24.01
2,D2,C_1206,1,LED Red,Lite-On,LTST-C150EKT,
3,D3,C_1207,1,LED Amber,Lite-On,LTST-C150AKT,
4,F1,C_1206,1,FUSE,Bell Fuse,C1Q 1,
5,"MIC2,MIC1",SPH1642HT5H,2,SPH1642HT5H-1,Knowles,SPH1642HT5H-1,
6,"R12,R13",C_0603,2,0R,Vishay Dale,CRCW06030000Z0EA,
7,"R14,R17",C_0603,2,DNP,,,
8,"R15,R16",C_0603,2,2.2K,,,
9,U2,UQFN-40-1EP_5x5mm_Pitch0.4mm,1,TLV320AIC3206IRSBT,Texas Insturment,TLV320AIC3206IRSBT,
10,U4,SOT-23-5,1,LP5907MFX-1.8,Texas Insturment,LP5907MFX-1.8/NOPB,
11,J2,SJ-3524-SMT-TR,1,SJ-3524-SMT-TR-PI,CUI Inc,SJ-3524-SMT-TR-PI,
12,J1,SJ-3523-SMT-TR,1,SJ-3523-SMT-TR,CUI Inc,SJ-3523-SMT-TR,
13,"C1,C3,C5,C7,C10,C12,C13,C16,C18,C28,C29,C42",C_0402,12,0.1uF,TDK Corporation,C1005X7R1H104K050BB,
14,"C2,C8,C17,C19,C23,C24,C25,C26,C27,C32,C33,C37,C39",C_0402,13,2.2uF,TDK Corporation,C1005X6S1C225K050BC,
15,"C4,C6,C11,C15",C_0402,4,10uF,Samsung,CL05A106MP5NUNC,
16,"C9,C14,C20,C21,C22,C34,C36",C_0402,7,1uF,TDK Corporation,C1005X5R1C105K050BC,
17,"R18,R21",R_0402,2,220R,Vishay Dale,CRCW0402220RFKED,
18,"R19,R20,R32,R33",R_0402,4,1K,Vishay Dale,CRCW04021K00FKED,
19,R22,R_0402,1,2R,KOA Speer,WK73S2HTTE2R00F,
20,R23,R_0402,1,100K,Vishay Dale,CRCW0402100KFKED,
21,R24,R_0603,1,0.22R,Vishay Dale,RCWE0603R220FKEA,
22,"R2,R3,R4,R5,R6,R7,R9,R10",R_0201_NoSilk,8,33R,Yageo,RC0201FR-0733RL,
23,"C30,C31",C_0402,2,10nF,TDK Corporation,C1005X7R1H103M050BE,
24,IC1,BGA-144-1mm,1,ARM,NXP,MK66FX1M0VMD18,
25,P1,10118193_microUSB,1,USB_OTG,Amphenol,10118193-0001LF,
26,R25,R_0402,1,470R,,,
27,"R26,R27",R_0402,2,33R,,,
28,SW2,PTS810,1,TACT_SWITCH,C&K,PTS810 SJK 250 SMTR LFS,
29,Y1,LFXTAL009678,1,32.768kHz,IQD,LFXTAL009678Reel,
30,Y2,FA_238_16.0000MB_K3,1,16MHz,Epson,FA_238_16.0000MB_K3,
31,BT1,Hirose_DF13A_2P_1.25H,1,LiPo,Hirose,DF13A-2P-1.25H(21),
32,RV1,Pin_Header_Straight_1x03_Pitch2.54mm,1,POT,Bourns,3352T-1-104L,
33,"C38,C35",C_0402,2,4.7uF,,,
34,"D4,D5",ACDBA340-HF,2,Shottkey,Comchip,ACDBA340-HF,
35,D6,CLMVB-FKA-CFHEHLCBB7a363,1,Led_RGB_CA,Cree,CLMVB-FKA-CFHEHLCBB7a363,
36,"P3,P4,P5,P2",Pin_Header_Straight_1x06_Pitch2.54mm,4,CONN_01X06,Samtec,SSW-106-01-G-S,
37,Q1,SC-70-3,1,Q_PNP_BEC,,,
38,"R30,R31",R_0402,2,10K,,,
39,"R34,R35,R36",R_0402,3,240R,,,
40,U1,SOT-23-5,1,LP5907MFX-3.3,,,
41,"L1,L2",C_0402,2,600,TDK Corporation,MMZ1005S601HT000,
42,SW1,CL-SB-22A,1,CL-SB-22A,Nidec Copal,CL-SB-22A-11T,
43,C40,C_0402,1,15pF,,,
44,C41,C_0402,1,22nF,,,
45,L3,C_0603,1,1K,,,
46,U3,SOT-353_SC-70-5,1,74LVC1G66,,,
47,IC2,QFN-16-1EP_3x3mm_Pitch0.5mm,1,MKL02Z32VFG4,PJRC,CONSIGNED BY SOLUTIONS,
48,CONN1,MOLEX_47571-0001,1,8_PIN_microSD,Molex,MOLEX_47571-0001,
